virus,260318-MBTA_Ha-NAS-P1,260523-Haymkt-NAS-P1,260526-MBTA_Da-NAS-P1,260527-Copl-NAS-P1,260530-NoS-NAS-P1,260602-Sea_P-NAS-P1,260605-BC-NAS-P1,260608-Copl-NAS-P1,260609-Cent-NAS-P1,260610-MBTA_Da-NAS-P1,260611-BC-NAS-P1,260613-MBTA_Ha-NAS-P1
Enterovirus A,0.0,0.0,5.95,7.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Enterovirus B,0.0,0.0,7.97,0.0,0.0,3.42,0.0,0.0,0.0,0.0,3.61,0.0
Enterovirus C,0.0,0.0,7.31,12.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Enterovirus D,0.0,0.0,8.08,5.0,0.0,0.0,0.0,0.0,0.0,7.55,0.0,0.0
Enterovirus F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Enterovirus J,0.0,0.0,5.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Enterovirus L,1.47,0.0,5.63,1.98,0.0,0.0,0.0,3.22,0.0,1.17,0.0,0.0
Gammainfluenzavirus influenzae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.61,0.0,0.0,0.0,0.0
Human coronavirus 229E,71.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Human coronavirus NL63,85.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.62,0.0,0.0,0.0
Metapneumovirus hominis,17.77,0.0,69.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Orthopneumovirus hominis,34.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Orthorubulavirus hominis,0.0,0.0,0.0,0.0,0.0,61.68,0.0,0.0,0.0,0.0,0.0,0.0
Rhinovirus A,89.95,94.49,96.96,94.14,38.0,97.91,95.1,100.0,92.63,100.0,97.45,93.47
Rhinovirus B,2.68,61.53,17.05,100.0,0.0,16.47,74.33,99.99,96.81,92.86,54.95,96.41
Rhinovirus C,90.5,76.7,97.74,97.84,58.05,32.56,11.62,95.09,35.38,97.74,99.91,49.04
Severe acute respiratory syndrome-related coronavirus,0.0,0.0,0.0,45.79,0.0,11.55,0.0,0.0,0.0,0.0,0.0,0.0
