virus,260318-MBTA_Ha-NAS-P1,260523-Haymkt-NAS-P1,260526-MBTA_Da-NAS-P1,260527-Copl-NAS-P1,260530-NoS-NAS-P1,260602-Sea_P-NAS-P1,260605-BC-NAS-P1,260608-Copl-NAS-P1,260609-Cent-NAS-P1,260610-MBTA_Da-NAS-P1,260611-BC-NAS-P1,260613-MBTA_Ha-NAS-P1
Enterovirus A,0.0,0.0,11.22,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Enterovirus B,0.0,0.0,21.92,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.04,0.0
Enterovirus C,0.0,0.0,4.2,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Enterovirus D,0.0,0.0,36.19,0.05,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0
Enterovirus F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Enterovirus J,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Enterovirus L,0.01,0.0,10.14,0.06,0.0,0.0,0.0,0.24,0.0,0.14,0.0,0.0
Gammainfluenzavirus influenzae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.21,0.0,0.0,0.0,0.0
Human coronavirus 229E,2.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Human coronavirus NL63,5.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0
Metapneumovirus hominis,0.29,0.0,133.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Orthopneumovirus hominis,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Orthorubulavirus hominis,0.0,0.0,0.0,0.0,0.0,86.91,0.0,0.0,0.0,0.0,0.0,0.0
Rhinovirus A,14.56,1786.13,5462.31,3863.07,0.56,1488.13,65.31,63303.1,1407.71,19204.4,292.51,381.75
Rhinovirus B,0.03,0.9,113.67,20360.7,0.0,0.16,2.74,1993.66,2386.26,200.44,0.64,8932.7
Rhinovirus C,8.63,65.77,4042.77,6364.5,0.95,2.2,0.12,2234.49,0.35,2626.88,299.4,1.82
Severe acute respiratory syndrome-related coronavirus,0.0,0.0,0.0,96.53,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0
