pool,species,taxid,n_reads,pct_of_classified_reads,pct_of_total_pool_reads,confidence,is_common_respiratory_virus,total_reads_in_pool,total_classified_in_pool
260318-MBTA_Ha-NAS-P1,Orthopneumovirus hominis,3049954,953,49.8431,48.697,high,True,1957,1912
260318-MBTA_Ha-NAS-P1,Rhinovirus A,147711,841,43.9854,42.9739,high,True,1957,1912
260318-MBTA_Ha-NAS-P1,Human coronavirus NL63,277944,60,3.1381,3.0659,high,True,1957,1912
260318-MBTA_Ha-NAS-P1,Human coronavirus 229E,11137,30,1.569,1.533,medium,True,1957,1912
260318-MBTA_Ha-NAS-P1,Rhinovirus C,463676,24,1.2552,1.2264,medium,True,1957,1912
260318-MBTA_Ha-NAS-P1,Human coronavirus HKU1,290028,2,0.1046,0.1022,low,True,1957,1912
260318-MBTA_Ha-NAS-P1,Rhinovirus B,147712,1,0.0523,0.0511,low,True,1957,1912
260318-MBTA_Ha-NAS-P1,Enterovirus J,1330521,1,0.0523,0.0511,low,True,1957,1912
260523-Haymkt-NAS-P1,Rhinovirus A,147711,3604,98.9566,80.0711,high,True,4501,3642
260523-Haymkt-NAS-P1,Apodemus agrarius picornavirus,2184393,21,0.5766,0.4666,medium,False,4501,3642
260523-Haymkt-NAS-P1,Rhinovirus C,463676,9,0.2471,0.2,low,True,4501,3642
260523-Haymkt-NAS-P1,Rhinovirus B,147712,3,0.0824,0.0667,low,True,4501,3642
260523-Haymkt-NAS-P1,Sapelovirus B,686985,2,0.0549,0.0444,low,False,4501,3642
260523-Haymkt-NAS-P1,Enterovirus D,138951,1,0.0275,0.0222,low,True,4501,3642
260523-Haymkt-NAS-P1,Enterovirus L,2169885,1,0.0275,0.0222,low,True,4501,3642
260523-Haymkt-NAS-P1,Cosavirus JMY-2014,1582094,1,0.0275,0.0222,low,False,4501,3642
260526-MBTA_Da-NAS-P1,Rhinovirus A,147711,13001,56.8723,16.993,high,True,76508,22860
260526-MBTA_Da-NAS-P1,Enterovirus J,1330521,5958,26.063,7.7874,high,True,76508,22860
260526-MBTA_Da-NAS-P1,Rhinovirus C,463676,2977,13.0227,3.8911,high,True,76508,22860
260526-MBTA_Da-NAS-P1,Metapneumovirus hominis,3048148,611,2.6728,0.7986,high,True,76508,22860
260526-MBTA_Da-NAS-P1,Enterovirus L,2169885,182,0.7962,0.2379,medium,True,76508,22860
260526-MBTA_Da-NAS-P1,Enterovirus D,138951,68,0.2975,0.0889,medium,True,76508,22860
260526-MBTA_Da-NAS-P1,Enterovirus C,138950,14,0.0612,0.0183,low,True,76508,22860
260526-MBTA_Da-NAS-P1,Enterovirus B,138949,11,0.0481,0.0144,low,True,76508,22860
260526-MBTA_Da-NAS-P1,Rhinovirus B,147712,10,0.0437,0.0131,low,True,76508,22860
260526-MBTA_Da-NAS-P1,Picornavirales sp.,1955153,8,0.035,0.0105,low,False,76508,22860
260526-MBTA_Da-NAS-P1,Bat picornavirus 3,1074865,7,0.0306,0.0091,low,False,76508,22860
