read_id,pool,species_taxid,species_name
260608-Copl-NAS-P1__8b16a1af-d4e0-4bfe-8411-7396c68f09ea,260608-Copl-NAS-P1,147711,Rhinovirus A
260608-Copl-NAS-P1__61b39d35-7baf-4b28-b5d1-fccea4a450ca,260608-Copl-NAS-P1,147711,Rhinovirus A
260608-Copl-NAS-P1__1e8066eb-5964-4b45-bafd-5349f9c2b5c2,260608-Copl-NAS-P1,147711,Rhinovirus A
260608-Copl-NAS-P1__f24e288c-8a43-4dcb-9511-ab91a08f1f57,260608-Copl-NAS-P1,147711,Rhinovirus A
260608-Copl-NAS-P1__361a8294-ef6b-4409-aa5f-5cc529739f7d,260608-Copl-NAS-P1,147711,Rhinovirus A
260608-Copl-NAS-P1__e3225f5a-b287-4f69-9786-ae6729d29396,260608-Copl-NAS-P1,147711,Rhinovirus A
260608-Copl-NAS-P1__1f090c05-5fc4-4e16-9b36-e4bd518f8253,260608-Copl-NAS-P1,147711,Rhinovirus A
260608-Copl-NAS-P1__d742e52d-2140-4aa8-b509-3c92d17f9c27,260608-Copl-NAS-P1,147711,Rhinovirus A
260608-Copl-NAS-P1__1eb11f3c-42b4-4a02-b998-f71985e0ee37,260608-Copl-NAS-P1,147711,Rhinovirus A
260608-Copl-NAS-P1__9b3f6f2c-ffac-4e1f-bbd9-a62f78485c82,260608-Copl-NAS-P1,147711,Rhinovirus A
260608-Copl-NAS-P1__fbd71711-7042-4a22-a596-f900a3acded6,260608-Copl-NAS-P1,147711,Rhinovirus A
260608-Copl-NAS-P1__c8c58733-1e9d-479f-83bf-ca6cf5609908,260608-Copl-NAS-P1,147711,Rhinovirus A
260608-Copl-NAS-P1__63ae8d39-89f7-4af8-99ef-f335a95b5836,260608-Copl-NAS-P1,147711,Rhinovirus A
260608-Copl-NAS-P1__964f94ac-d1f9-4670-894f-188beb83c9bf,260608-Copl-NAS-P1,147711,Rhinovirus A
260608-Copl-NAS-P1__9cdef22b-af13-474c-9c2c-bead115373a5,260608-Copl-NAS-P1,147711,Rhinovirus A
260608-Copl-NAS-P1__4f088865-f14b-49bb-8e12-577fc89677d2,260608-Copl-NAS-P1,147711,Rhinovirus A
260608-Copl-NAS-P1__0b6bc3a4-e20b-4827-bf31-b8c06f576df0,260608-Copl-NAS-P1,147711,Rhinovirus A
260608-Copl-NAS-P1__d60a4a73-04b4-4ebf-8929-d6afd728f79c,260608-Copl-NAS-P1,147711,Rhinovirus A
260608-Copl-NAS-P1__6236dfe3-afff-40b5-8c95-d8f57a7a0a96,260608-Copl-NAS-P1,147711,Rhinovirus A
260608-Copl-NAS-P1__76873c1f-1b5b-4173-b972-d48e8e8cade3,260608-Copl-NAS-P1,147711,Rhinovirus A
260608-Copl-NAS-P1__fd0219ed-b55e-44fb-931b-7965bd1c566e,260608-Copl-NAS-P1,147711,Rhinovirus A
260608-Copl-NAS-P1__cbb00f70-4dac-41a6-b5b9-c4135172ca45,260608-Copl-NAS-P1,147711,Rhinovirus A
260608-Copl-NAS-P1__fc2b9619-1def-4891-a0ea-c0fd2b4ccdb0,260608-Copl-NAS-P1,147711,Rhinovirus A
